sl_no,state,confirmed_cases,active_cases,recovered_cases,death_cases,survival_rate,prediction
2,Andaman and Nicobar Islands,3712,166,3494,52,94.1271551724138
1,Andhra Pradesh,646530,70357,570667,5506,88.2661284085812
3,Arunachal Pradesh,8133,2216,5903,14,72.5808434771917
4,Assam,163491,30182,132712,597,81.1738872476161
5,Bihar,172854,12958,159022,874,91.9978710356717
6,Chandigarh,10726,2537,8049,140,75.041954130151
7,Chhattisgarh,93351,35850,56773,728,60.8167025527311
8,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2,93.0114787305874
10,Delhi,256789,30836,220866,5087,86.0106936044768
11,Goa,29879,5646,23857,376,79.8453763512835
12,Gujarat,127379,16438,107574,3367,84.4519112255552
13,Haryana,116856,19276,96347,1233,82.4493393578421
14,Himachal Pradesh,13049,3950,8959,140,68.6566020384704
15,Jammu and Kashmir,67510,19918,46530,1062,68.9231225003703
16,Jharkhand,75089,12882,61559,648,81.9813820932494
17,Karnataka,540847,94671,437910,8266,80.96744550677
18,Kerala,148132,42858,104682,592,70.6680528177571
19,Ladakh,3933,1038,2844,51,72.3112128146453
20,Lakshadweep,0,0,0,0,0
21,Madhya Pradesh,113057,22812,88168,2077,77.985440972253
22,Maharashtra,1263799,273883,956030,33886,75.6473141694209
23,Manipur,9376,2206,7108,62,75.8105802047782
24,Meghalaya,4961,2060,2859,42,57.6295101793993
25,Mizoram,1713,618,1095,0,63.922942206655
26,Nagaland,5671,1119,4536,16,79.9858931405396
27,Odisha,192548,34547,157265,736,81.675737997798
28,Puducherry,24227,4853,18893,481,77.9832418376192
29,Punjab,103464,21230,79244,2990,76.5908915178226
30,Rajasthan,120739,18992,100365,1382,83.1255849394148
31,Sikkim,2628,575,2023,30,76.9786910197869
32,Tamil Nadu,557999,46249,502740,9010,90.0969356575908
34,Telengana,179246,30037,148139,1070,82.6456378385013
33,Tripura,23789,6551,16978,260,71.3691201815965
35,Uttarakhand,43720,11867,31324,529,71.6468435498628
36,Uttar Pradesh,369686,61698,302689,5299,81.8773229172866
37,West Bengal,234673,25101,205028,4544,87.3675284331815
